group_id,assigned_split,group_size,canonical_image,canonical_label,source_image,source_split,numeric_id,numeric_block,sha256,dhash,person_boxes,helmet_boxes,safety_vest_boxes,is_negative,image_transfer,label_transfer
group_0001,test,20,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image100.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image100.txt,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image100.jpg,train,100,5,f90bb05e3d79d843b63fbdbb01841b8d58e934cd6575049ed9c9f5042230ec82,00acbcdedeee6e10,4,4,0,False,hardlink,hardlink
group_0001,test,20,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image101.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image101.txt,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image101.jpeg,train,101,5,73fd2999c1316b1fb967462f75cec583dc99c311a47fe245074837dc2b4b1062,00dbca92980ac100,2,0,1,False,hardlink,hardlink
group_0001,test,20,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image102.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image102.txt,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image102.jpg,train,102,5,158d5b3f3355f7f937e43a3879f3fe77e0b4384b6b70480c42ffa2edcdb41b23,05031316928f0e1e,1,1,1,False,hardlink,hardlink
group_0001,test,20,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image103.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image103.txt,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image103.jpeg,train,103,5,223604f303e51304f0e21aa394a28fc1b3f8cb40a15828028988516f43d035ae,007272e366586a00,1,0,1,False,hardlink,hardlink
group_0001,test,20,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image104.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image104.txt,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image104.jpg,train,104,5,db20330f9e7306f6d4d50d0e1f6d7763efb3f84c418f03c37d4c28dd80836278,1b37174c4d84a666,1,1,1,False,hardlink,hardlink
group_0001,test,20,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image105.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image105.txt,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image105.jpg,train,105,5,f96da2f7f0b42ea45106db6ddc452fa487e74d697ad950b8c306a4627a161973,0b17174e4dc6b627,1,1,1,False,hardlink,hardlink
group_0001,test,20,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image106.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image106.txt,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image106.jpg,train,106,5,668ea63e4916a7fb63b6438240755dc64d3d113bc91f0ac3cd480057452871e3,1b392d0c4dc4b627,1,1,1,False,hardlink,hardlink
group_0001,test,20,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image107.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image107.txt,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image107.jpg,train,107,5,98ed63e1f06c5dd619224d5c487799744f7d4860c875ee8e2c91c8e18d769d91,d8e93190c5e42c28,1,0,1,False,hardlink,hardlink
group_0001,test,20,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image108.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image108.txt,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image108.jpg,train,108,5,f3917ba40946a7836c1a2b09fdb63559bc654c3eafcf80d4a30bd2aff0b53f97,b7736c6939323a62,2,1,2,False,hardlink,hardlink
group_0001,test,20,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image109.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image109.txt,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image109.jpg,train,109,5,07fc46af42f1d88682516f5bf76586b3b5192d458a4ba11db35c6ae8ed8bca5e,00447657d7567200,3,3,3,False,hardlink,hardlink
group_0001,test,20,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image111.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image111.txt,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image111.jpg,train,111,5,c1c9e23b084d04355ad0d981d9b4ad4e74b2aaf00f60cf514bfd6b20101c6cd9,118a098a32737362,3,3,3,False,hardlink,hardlink
group_0001,test,20,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image112.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image112.txt,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image112.jpeg,train,112,5,7d9d79e1dd1a9c011d29ed5485bd87fe63f48fb5baafa220533f3f8a25aec991,004fe3f3eb657400,2,0,2,False,hardlink,hardlink
group_0001,test,20,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image113.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image113.txt,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image113.jpg,train,113,5,b5d233dfb7007f7cb2614905f2d8f9668a69dd6195713c0fcad478976dbf4bc5,c2fc587c92b1fce0,15,0,15,False,hardlink,hardlink
group_0001,test,20,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image114.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image114.txt,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image114.jpg,train,114,5,0204f83949316c25e33d570be1129d023963ff2ea73a8e87d5ddd10b15dd0a4e,b83233d5e73a9991,4,0,5,False,hardlink,hardlink
group_0001,test,20,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image118.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image118.txt,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image118.jpg,train,118,5,80f63f7d4b247b3cfcd0ad7d96e00a8501cbeb44990298b5ae35095722f8a589,9a9024d0f3e3ebd2,3,0,3,False,hardlink,hardlink
